loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,target,dti_squared,loan_to_income,installment_to_income,int_rate_times_term
15000.0,15000.0,15000.0,36.0,0.1099,491.01,1,8,10.0,0,119000.0,2,2015-04-01,0,3,38,1.57,0.0,1994-07-01,4.0,6.0,0.0,9.0,0.1,61.0,1,0.0,0.0,15578.77,15578.77,15000.0,578.77,0.0,0.0,0.0,2015-09-01 00:00:00,14114.9,2016-01-01,0.0,1.0,0,0.0,0.0,8538.0,8100.0,0,2.4649,0.1260493609297401,0.0495131973680893,3.9564
21000.0,21000.0,21000.0,60.0,0.1465,495.74,2,14,6.0,0,92000.0,1,2015-04-01,0,2,38,19.42,0.0,2004-03-01,1.0,13.0,1.0,10135.0,53.9,28.0,0,0.0,0.0,22057.27,22057.27,21000.0,1057.27,0.0,0.0,0.0,2015-08-01 00:00:00,20604.23,2015-09-01,0.0,1.0,0,0.0,220.0,337997.0,18800.0,0,377.1364000000001,0.2282583884957772,0.0646610362930837,8.79
10000.0,10000.0,10000.0,36.0,0.1229,333.53,2,10,10.0,0,74500.0,1,2015-04-01,0,2,39,18.88,1.0,2004-09-01,0.0,13.0,1.0,12441.0,53.4,25.0,0,0.0,0.0,10713.57,10713.57,10000.0,713.57,0.0,0.0,0.0,2015-12-01 00:00:00,8719.22,2016-01-01,0.0,1.0,0,0.0,0.0,186878.0,23300.0,0,356.4544,0.1342263862230037,0.0537222319163501,4.4244
6275.0,6275.0,6275.0,36.0,0.1333,212.43,2,12,4.0,2,21120.0,2,2015-04-01,0,1,29,32.9,0.0,2010-10-01,2.0,25.0,0.0,10248.0,31.0,29.0,1,0.0,0.0,6436.8,6436.8,6275.0,161.8,0.0,0.0,0.0,2015-06-01 00:00:00,6233.66,2015-06-01,0.0,1.0,0,0.0,0.0,10248.0,32825.0,0,1082.41,0.297097675299465,0.1206931489986269,4.7988
3600.0,3600.0,3600.0,36.0,0.1153,118.77,1,9,0.5,0,108000.0,0,2015-04-01,0,2,20,9.71,0.0,2002-07-01,0.0,6.0,0.0,2659.0,37.5,11.0,1,0.0,0.0,3723.67,3723.67,3600.0,123.67,0.0,0.0,0.0,2015-07-01 00:00:00,3488.44,2015-10-01,0.0,1.0,0,0.0,0.0,182324.0,7100.0,0,94.28410000000002,0.0333330246942157,0.01319654447644,4.1508
5400.0,5400.0,5400.0,36.0,0.0917,172.15,1,6,9.0,0,80000.0,1,2015-04-01,0,2,38,22.95,0.0,1997-01-01,0.0,12.0,0.0,36449.0,73.3,27.0,0,0.0,0.0,5639.83,5639.83,5400.0,239.83,0.0,0.0,0.0,2015-10-01 00:00:00,4784.58,2016-01-01,0.0,1.0,0,0.0,0.0,417859.0,23500.0,0,526.7025,0.0674991562605467,0.0258221772227847,3.3012
32000.0,32000.0,32000.0,60.0,0.1884,827.29,4,21,2.0,0,125000.0,2,2015-04-01,0,1,26,22.1,0.0,1990-10-01,2.0,18.0,0.0,172708.0,51.5,47.0,1,0.0,0.0,33505.98,33505.98,32000.0,1505.98,0.0,0.0,0.0,2015-07-01 00:00:00,31918.39,2015-07-01,0.0,1.0,0,0.0,0.0,655092.0,217700.0,0,488.4100000000001,0.2559979520163838,0.0794192046463628,11.304
9500.0,9500.0,9500.0,36.0,0.1229,316.86,2,10,9.0,1,72500.0,0,2015-04-01,0,2,9,16.6,0.0,1994-07-01,0.0,10.0,1.0,9327.0,69.1,37.0,0,0.0,0.0,9985.12,9985.12,9500.0,485.12,0.0,0.0,0.0,2015-09-01 00:00:00,8730.65,2015-09-01,0.0,1.0,0,0.0,0.0,104832.0,13500.0,0,275.56000000000006,0.1310326754113736,0.0524450697231762,4.4244
35000.0,35000.0,35000.0,36.0,0.1229,1167.36,2,10,5.0,0,160000.0,1,2015-04-01,0,2,25,14.24,0.0,1998-06-01,1.0,14.0,0.0,32854.0,29.0,45.0,0,0.0,0.0,37277.59,37277.59,35000.0,2277.59,0.0,0.0,0.0,2015-10-01 00:00:00,31464.69,2015-11-01,0.0,1.0,0,0.0,0.0,267107.0,114220.0,0,202.7776,0.2187486328210448,0.0875514528034199,4.4244
8475.0,8475.0,8475.0,36.0,0.1699,302.12,3,17,0.5,0,30000.0,1,2015-04-01,0,1,38,37.36,0.0,2009-03-01,0.0,9.0,0.0,13110.0,52.0,11.0,0,0.0,0.0,8684.84,8684.84,8475.0,209.84,0.0,0.0,0.0,2015-05-01 00:00:00,8692.84,2015-06-01,0.0,1.0,0,0.0,0.0,87693.0,25200.0,0,1395.7696,0.2824905836472117,0.1208439718676044,6.1164
